created_date,pick_city_name,bad_weather_order,A1,total_submitted,total_delivered,cancelled_quit,cnd,incharge_period,completion_time,peak3,stack,30 days from created_date,A30,%peak3,%stack,%cnd,%g2n,%bw,cancel_by_mex_users
2022-01-01,Vung Tau,0,169,4225,3490,735,270,0.17541666666666664,24.6663905550795,959,345,2021-12-02,,0.22698224852071006,0.08165680473372781,0.06390532544378698,0.8260355029585799,0.0,465
2022-01-02,Binh Duong,0,310,5208,4449,759,414,0.2372549019607843,21.75646052729853,411,778,2021-12-03,,0.07891705069124424,0.14938556067588327,0.07949308755760369,0.8542626728110599,0.0,345
2022-01-02,Can Tho City,0,404,5628,5289,339,6,0.14236111111111108,20.259681580768987,0,14,2021-12-03,,0.0,0.0024875621890547263,0.0010660980810234541,0.9397654584221748,0.0,333
2022-01-02,Dong Nai,0,442,8420,7183,1237,615,1.7666666666666666,26.238670736783682,1249,2164,2021-12-03,,0.1483372921615202,0.2570071258907363,0.07304038004750593,0.8530878859857483,0.0,622
2022-01-02,Hai Phong City,96,440,6715,5632,1083,385,1.6312206572769952,30.8024121255013,1555,2756,2021-12-03,,0.2315711094564408,0.41042442293373044,0.0573343261355175,0.8387192851824274,0.014296351451973194,698
2022-01-02,Hue City,0,408,6297,5753,544,85,0.16996336996336991,20.602533402741628,444,196,2021-12-03,,0.07050976655550262,0.031125932983960616,0.013498491345084962,0.9136096553914562,0.0,459
2022-01-02,Vung Tau,0,172,4164,3541,623,203,0.25166666666666665,19.85553207476284,806,278,2021-12-03,,0.1935638808837656,0.06676272814601344,0.048751200768491834,0.8503842459173871,0.0,420
2022-01-03,Binh Duong,0,343,4854,4207,647,344,0.885,20.60505684509711,372,651,2021-12-04,,0.07663782447466007,0.13411619283065512,0.07086938607334158,0.8667078697981047,0.0,303
2022-01-03,Can Tho City,0,464,5592,5273,319,5,0.09920634920634917,20.006256303580432,0,0,2021-12-04,,0.0,0.0,0.000894134477825465,0.9429542203147353,0.0,314
2022-01-03,Dong Nai,0,514,7623,6841,782,215,1.1344444444444444,22.766032648301998,417,1649,2021-12-04,,0.05470287288469106,0.21631903450085269,0.02820411911321002,0.8974157155975337,0.0,567
